timestamp_utc,total_power_rail,total_power_mw,total_power_avg_mw,power_rails_json,tegrastats_raw
2026-08-14T15:25:06.667+00:00,VDD_IN,10103,9317,"{""VDD_IN"":{""current_mw"":10103,""average_mw"":9317},""VDD_CPU_GPU_CV"":{""current_mw"":3883,""average_mw"":3436},""VDD_SOC"":{""current_mw"":1988,""average_mw"":1888}}","08-14-2026 11:25:06 RAM 8265/15656MB (lfb 8x4MB) SWAP 0/7828MB (cached 0MB) CPU [91%@1497,88%@1497,97%@1497,92%@1497,94%@1497,91%@1497,95%@1497,86%@1497] GR3D_FREQ 0% cv0@48.281C cpu@50.593C soc2@47.187C soc0@49.031C cv1@48.125C gpu@47.875C tj@50.593C soc1@50.093C cv2@46.781C VDD_IN 10103mW/9317mW VDD_CPU_GPU_CV 3883mW/3436mW VDD_SOC 1988mW/1888mW"
2026-08-14T15:25:07.673+00:00,VDD_IN,10022,9376,"{""VDD_IN"":{""current_mw"":10022,""average_mw"":9376},""VDD_CPU_GPU_CV"":{""current_mw"":3802,""average_mw"":3467},""VDD_SOC"":{""current_mw"":1988,""average_mw"":1897}}","08-14-2026 11:25:07 RAM 8503/15656MB (lfb 6x4MB) SWAP 0/7828MB (cached 0MB) CPU [95%@1497,91%@1497,88%@1497,92%@1497,98%@1497,91%@1497,94%@1497,91%@1497] GR3D_FREQ 0% cv0@48.375C cpu@50.593C soc2@47.062C soc0@49.031C cv1@48C gpu@47.906C tj@50.593C soc1@50.125C cv2@46.781C VDD_IN 10022mW/9376mW VDD_CPU_GPU_CV 3802mW/3467mW VDD_SOC 1988mW/1897mW"
2026-08-14T15:25:08.681+00:00,VDD_IN,9494,9385,"{""VDD_IN"":{""current_mw"":9494,""average_mw"":9385},""VDD_CPU_GPU_CV"":{""current_mw"":3316,""average_mw"":3455},""VDD_SOC"":{""current_mw"":1947,""average_mw"":1900}}","08-14-2026 11:25:08 RAM 8553/15656MB (lfb 7x4MB) SWAP 0/7828MB (cached 0MB) CPU [83%@1497,77%@1497,86%@1497,82%@1497,84%@1497,84%@1497,91%@1497,82%@1497] GR3D_FREQ 0% cv0@47.781C cpu@50.062C soc2@47.031C soc0@49.062C cv1@47.875C gpu@47.656C tj@50.062C soc1@50.062C cv2@46.812C VDD_IN 9494mW/9385mW VDD_CPU_GPU_CV 3316mW/3455mW VDD_SOC 1947mW/1900mW"
2026-08-14T15:25:09.690+00:00,VDD_IN,8967,9355,"{""VDD_IN"":{""current_mw"":8967,""average_mw"":9355},""VDD_CPU_GPU_CV"":{""current_mw"":3119,""average_mw"":3431},""VDD_SOC"":{""current_mw"":1866,""average_mw"":1898}}","08-14-2026 11:25:09 RAM 8635/15656MB (lfb 6x4MB) SWAP 0/7828MB (cached 0MB) CPU [75%@1497,82%@1497,67%@1497,83%@1497,68%@1497,73%@1497,67%@1497,68%@1497] GR3D_FREQ 0% cv0@47.812C cpu@49.906C soc2@47.093C soc0@49.031C cv1@48.031C gpu@48C tj@50.125C soc1@50.125C cv2@46.843C VDD_IN 8967mW/9355mW VDD_CPU_GPU_CV 3119mW/3431mW VDD_SOC 1866mW/1898mW"
2026-08-14T15:25:10.697+00:00,VDD_IN,8196,9278,"{""VDD_IN"":{""current_mw"":8196,""average_mw"":9278},""VDD_CPU_GPU_CV"":{""current_mw"":2795,""average_mw"":3389},""VDD_SOC"":{""current_mw"":1704,""average_mw"":1885}}","08-14-2026 11:25:10 RAM 8689/15656MB (lfb 6x4MB) SWAP 0/7828MB (cached 0MB) CPU [65%@1497,59%@1497,53%@1497,51%@1497,83%@1497,53%@1497,57%@1497,56%@1497] GR3D_FREQ 0% cv0@47.781C cpu@50.062C soc2@46.906C soc0@49.062C cv1@47.718C gpu@47.468C tj@50.218C soc1@50.218C cv2@46.718C VDD_IN 8196mW/9278mW VDD_CPU_GPU_CV 2795mW/3389mW VDD_SOC 1704mW/1885mW"
2026-08-14T15:25:11.705+00:00,VDD_IN,9494,9291,"{""VDD_IN"":{""current_mw"":9494,""average_mw"":9291},""VDD_CPU_GPU_CV"":{""current_mw"":3680,""average_mw"":3407},""VDD_SOC"":{""current_mw"":1866,""average_mw"":1884}}","08-14-2026 11:25:11 RAM 8852/15656MB (lfb 6x4MB) SWAP 0/7828MB (cached 0MB) CPU [91%@1497,91%@1497,87%@1497,86%@1497,86%@1497,83%@1497,88%@1497,92%@1497] GR3D_FREQ 0% cv0@48.156C cpu@50.468C soc2@47.062C soc0@49C cv1@48C gpu@47.656C tj@50.468C soc1@50.093C cv2@46.812C VDD_IN 9494mW/9291mW VDD_CPU_GPU_CV 3680mW/3407mW VDD_SOC 1866mW/1884mW"
2026-08-14T15:25:12.715+00:00,VDD_IN,9697,9315,"{""VDD_IN"":{""current_mw"":9697,""average_mw"":9315},""VDD_CPU_GPU_CV"":{""current_mw"":3680,""average_mw"":3423},""VDD_SOC"":{""current_mw"":1907,""average_mw"":1885}}","08-14-2026 11:25:12 RAM 8889/15656MB (lfb 6x4MB) SWAP 0/7828MB (cached 0MB) CPU [100%@1497,100%@1497,100%@1497,100%@1497,100%@1497,100%@1497,100%@1497,100%@1497] GR3D_FREQ 0% cv0@48.093C cpu@50.5C soc2@47.093C soc0@49.062C cv1@48.093C gpu@47.593C tj@50.5C soc1@50.187C cv2@46.937C VDD_IN 9697mW/9315mW VDD_CPU_GPU_CV 3680mW/3423mW VDD_SOC 1907mW/1885mW"
2026-08-14T15:25:13.722+00:00,VDD_IN,8155,9251,"{""VDD_IN"":{""current_mw"":8155,""average_mw"":9251},""VDD_CPU_GPU_CV"":{""current_mw"":2633,""average_mw"":3379},""VDD_SOC"":{""current_mw"":1744,""average_mw"":1877}}","08-14-2026 11:25:13 RAM 8723/15656MB (lfb 6x4MB) SWAP 0/7828MB (cached 0MB) CPU [78%@729,62%@729,82%@729,56%@729,63%@1497,64%@1497,74%@1497,81%@1497] GR3D_FREQ 0% cv0@47.343C cpu@50C soc2@46.968C soc0@49.093C cv1@47.656C gpu@47.593C tj@50.25C soc1@50.25C cv2@46.843C VDD_IN 8155mW/9251mW VDD_CPU_GPU_CV 2633mW/3379mW VDD_SOC 1744mW/1877mW"
2026-08-14T15:25:14.729+00:00,VDD_IN,6908,9127,"{""VDD_IN"":{""current_mw"":6908,""average_mw"":9127},""VDD_CPU_GPU_CV"":{""current_mw"":1825,""average_mw"":3297},""VDD_SOC"":{""current_mw"":1623,""average_mw"":1864}}","08-14-2026 11:25:14 RAM 8723/15656MB (lfb 6x4MB) SWAP 0/7828MB (cached 0MB) CPU [39%@1267,27%@1267,32%@1267,32%@1267,19%@1497,20%@1497,27%@1497,31%@1497] GR3D_FREQ 0% cv0@47.125C cpu@49.437C soc2@46.812C soc0@49.031C cv1@47.5C gpu@47.5C tj@50.125C soc1@50.125C cv2@46.812C VDD_IN 6908mW/9127mW VDD_CPU_GPU_CV 1825mW/3297mW VDD_SOC 1623mW/1864mW"
2026-08-14T15:25:15.736+00:00,VDD_IN,6746,9008,"{""VDD_IN"":{""current_mw"":6746,""average_mw"":9008},""VDD_CPU_GPU_CV"":{""current_mw"":1663,""average_mw"":3216},""VDD_SOC"":{""current_mw"":1584,""average_mw"":1850}}","08-14-2026 11:25:15 RAM 8726/15656MB (lfb 6x4MB) SWAP 0/7828MB (cached 0MB) CPU [36%@1497,26%@1497,28%@1497,29%@1497,21%@729,20%@729,28%@729,20%@729] GR3D_FREQ 0% cv0@47.25C cpu@49.343C soc2@46.906C soc0@49.062C cv1@47.593C gpu@47.5C tj@50.062C soc1@50.062C cv2@46.781C VDD_IN 6746mW/9008mW VDD_CPU_GPU_CV 1663mW/3216mW VDD_SOC 1584mW/1850mW"
2026-08-14T15:25:16.743+00:00,VDD_IN,6705,8899,"{""VDD_IN"":{""current_mw"":6705,""average_mw"":8899},""VDD_CPU_GPU_CV"":{""current_mw"":1663,""average_mw"":3142},""VDD_SOC"":{""current_mw"":1625,""average_mw"":1839}}","08-14-2026 11:25:16 RAM 8727/15656MB (lfb 6x4MB) SWAP 0/7828MB (cached 0MB) CPU [31%@1497,29%@729,29%@729,31%@729,20%@1113,24%@1113,27%@1113,24%@1113] GR3D_FREQ 0% cv0@47C cpu@49.562C soc2@46.812C soc0@48.968C cv1@47.375C gpu@47.437C tj@50.125C soc1@50.125C cv2@46.937C VDD_IN 6705mW/8899mW VDD_CPU_GPU_CV 1663mW/3142mW VDD_SOC 1625mW/1839mW"
2026-08-14T15:25:17.750+00:00,VDD_IN,6664,8797,"{""VDD_IN"":{""current_mw"":6664,""average_mw"":8797},""VDD_CPU_GPU_CV"":{""current_mw"":1623,""average_mw"":3073},""VDD_SOC"":{""current_mw"":1584,""average_mw"":1828}}","08-14-2026 11:25:17 RAM 8726/15656MB (lfb 6x4MB) SWAP 0/7828MB (cached 0MB) CPU [44%@1497,32%@1497,18%@1497,25%@1497,19%@1497,20%@1497,20%@1497,26%@1497] GR3D_FREQ 0% cv0@47.125C cpu@49.125C soc2@46.875C soc0@49.125C cv1@47.312C gpu@47.312C tj@50C soc1@50C cv2@46.781C VDD_IN 6664mW/8797mW VDD_CPU_GPU_CV 1623mW/3073mW VDD_SOC 1584mW/1828mW"
2026-08-14T15:25:18.757+00:00,VDD_IN,6827,8711,"{""VDD_IN"":{""current_mw"":6827,""average_mw"":8711},""VDD_CPU_GPU_CV"":{""current_mw"":1785,""average_mw"":3017},""VDD_SOC"":{""current_mw"":1623,""average_mw"":1819}}","08-14-2026 11:25:18 RAM 8729/15656MB (lfb 6x4MB) SWAP 0/7828MB (cached 0MB) CPU [28%@729,45%@729,23%@729,29%@729,31%@1420,23%@1420,29%@1420,35%@1420] GR3D_FREQ 0% cv0@47.125C cpu@49.343C soc2@46.812C soc0@49C cv1@47.562C gpu@47.562C tj@50.125C soc1@50.125C cv2@46.812C VDD_IN 6827mW/8711mW VDD_CPU_GPU_CV 1785mW/3017mW VDD_SOC 1623mW/1819mW"
2026-08-14T15:25:19.765+00:00,VDD_IN,6705,8628,"{""VDD_IN"":{""current_mw"":6705,""average_mw"":8628},""VDD_CPU_GPU_CV"":{""current_mw"":1623,""average_mw"":2959},""VDD_SOC"":{""current_mw"":1623,""average_mw"":1811}}","08-14-2026 11:25:19 RAM 8730/15656MB (lfb 6x4MB) SWAP 0/7828MB (cached 0MB) CPU [25%@1497,22%@1497,18%@1497,20%@1497,23%@960,25%@960,39%@960,31%@960] GR3D_FREQ 0% cv0@47.156C cpu@49.5C soc2@46.75C soc0@49.062C cv1@47.343C gpu@47.437C tj@50.125C soc1@50.125C cv2@46.687C VDD_IN 6705mW/8628mW VDD_CPU_GPU_CV 1623mW/2959mW VDD_SOC 1623mW/1811mW"
2026-08-14T15:25:20.773+00:00,VDD_IN,6786,8554,"{""VDD_IN"":{""current_mw"":6786,""average_mw"":8554},""VDD_CPU_GPU_CV"":{""current_mw"":1744,""average_mw"":2910},""VDD_SOC"":{""current_mw"":1582,""average_mw"":1801}}","08-14-2026 11:25:20 RAM 8730/15656MB (lfb 6x4MB) SWAP 0/7828MB (cached 0MB) CPU [20%@1497,15%@1497,11%@1497,14%@1497,35%@1497,32%@1497,26%@1497,41%@1497] GR3D_FREQ 0% cv0@47.25C cpu@49.25C soc2@46.812C soc0@49.031C cv1@47.5C gpu@47.312C tj@49.937C soc1@49.937C cv2@46.718C VDD_IN 6786mW/8554mW VDD_CPU_GPU_CV 1744mW/2910mW VDD_SOC 1582mW/1801mW"
2026-08-14T15:25:21.781+00:00,VDD_IN,6705,8483,"{""VDD_IN"":{""current_mw"":6705,""average_mw"":8483},""VDD_CPU_GPU_CV"":{""current_mw"":1663,""average_mw"":2862},""VDD_SOC"":{""current_mw"":1584,""average_mw"":1793}}","08-14-2026 11:25:21 RAM 8729/15656MB (lfb 6x4MB) SWAP 0/7828MB (cached 0MB) CPU [34%@1497,24%@1497,30%@1497,29%@1497,17%@1190,21%@1190,21%@1190,18%@1190] GR3D_FREQ 0% cv0@47.156C cpu@49.5C soc2@46.875C soc0@48.968C cv1@47.468C gpu@47.593C tj@50.062C soc1@50.062C cv2@46.812C VDD_IN 6705mW/8483mW VDD_CPU_GPU_CV 1663mW/2862mW VDD_SOC 1584mW/1793mW"
2026-08-14T15:25:22.789+00:00,VDD_IN,6664,8416,"{""VDD_IN"":{""current_mw"":6664,""average_mw"":8416},""VDD_CPU_GPU_CV"":{""current_mw"":1623,""average_mw"":2816},""VDD_SOC"":{""current_mw"":1625,""average_mw"":1787}}","08-14-2026 11:25:22 RAM 8729/15656MB (lfb 6x4MB) SWAP 0/7828MB (cached 0MB) CPU [24%@1497,32%@1497,16%@1497,25%@729,25%@1036,34%@1036,29%@1036,32%@1036] GR3D_FREQ 0% cv0@47.093C cpu@49.125C soc2@46.75C soc0@49.031C cv1@47.343C gpu@47.468C tj@50.156C soc1@50.156C cv2@46.687C VDD_IN 6664mW/8416mW VDD_CPU_GPU_CV 1623mW/2816mW VDD_SOC 1625mW/1787mW"
2026-08-14T15:25:23.798+00:00,VDD_IN,6786,8357,"{""VDD_IN"":{""current_mw"":6786,""average_mw"":8357},""VDD_CPU_GPU_CV"":{""current_mw"":1704,""average_mw"":2776},""VDD_SOC"":{""current_mw"":1623,""average_mw"":1781}}","08-14-2026 11:25:23 RAM 8731/15656MB (lfb 6x4MB) SWAP 0/7828MB (cached 0MB) CPU [30%@729,32%@729,25%@729,26%@729,32%@1267,27%@1267,39%@1267,28%@1267] GR3D_FREQ 0% cv0@47.062C cpu@49.218C soc2@46.812C soc0@48.968C cv1@47.406C gpu@47.5C tj@49.937C soc1@49.937C cv2@46.75C VDD_IN 6786mW/8357mW VDD_CPU_GPU_CV 1704mW/2776mW VDD_SOC 1623mW/1781mW"
2026-08-14T15:25:24.805+00:00,VDD_IN,6705,8301,"{""VDD_IN"":{""current_mw"":6705,""average_mw"":8301},""VDD_CPU_GPU_CV"":{""current_mw"":1663,""average_mw"":2738},""VDD_SOC"":{""current_mw"":1582,""average_mw"":1774}}","08-14-2026 11:25:24 RAM 8731/15656MB (lfb 6x4MB) SWAP 0/7828MB (cached 0MB) CPU [51%@1344,27%@1344,12%@1344,23%@1344,19%@729,20%@729,26%@729,26%@729] GR3D_FREQ 0% cv0@47.187C cpu@49.281C soc2@46.781C soc0@48.937C cv1@47.468C gpu@47.343C tj@50.125C soc1@50.125C cv2@46.781C VDD_IN 6705mW/8301mW VDD_CPU_GPU_CV 1663mW/2738mW VDD_SOC 1582mW/1774mW"
2026-08-14T15:25:25.812+00:00,VDD_IN,6705,8247,"{""VDD_IN"":{""current_mw"":6705,""average_mw"":8247},""VDD_CPU_GPU_CV"":{""current_mw"":1663,""average_mw"":2702},""VDD_SOC"":{""current_mw"":1625,""average_mw"":1769}}","08-14-2026 11:25:25 RAM 8731/15656MB (lfb 6x4MB) SWAP 0/7828MB (cached 0MB) CPU [29%@1190,29%@1267,26%@1267,25%@1267,21%@1190,19%@1190,33%@1190,31%@1190] GR3D_FREQ 0% cv0@47.031C cpu@49.593C soc2@46.718C soc0@49.062C cv1@47.437C gpu@47.312C tj@50.125C soc1@50.125C cv2@46.687C VDD_IN 6705mW/8247mW VDD_CPU_GPU_CV 1663mW/2702mW VDD_SOC 1625mW/1769mW"
2026-08-14T15:25:26.818+00:00,VDD_IN,6664,8196,"{""VDD_IN"":{""current_mw"":6664,""average_mw"":8196},""VDD_CPU_GPU_CV"":{""current_mw"":1623,""average_mw"":2667},""VDD_SOC"":{""current_mw"":1582,""average_mw"":1763}}","08-14-2026 11:25:26 RAM 8731/15656MB (lfb 6x4MB) SWAP 0/7828MB (cached 0MB) CPU [36%@1420,19%@1420,29%@1420,31%@1420,17%@1420,13%@1420,22%@1420,19%@1420] GR3D_FREQ 0% cv0@47.062C cpu@49.093C soc2@46.843C soc0@49.125C cv1@47.312C gpu@47.281C tj@50C soc1@50C cv2@46.656C VDD_IN 6664mW/8196mW VDD_CPU_GPU_CV 1623mW/2667mW VDD_SOC 1582mW/1763mW"
2026-08-14T15:25:27.826+00:00,VDD_IN,6664,8148,"{""VDD_IN"":{""current_mw"":6664,""average_mw"":8148},""VDD_CPU_GPU_CV"":{""current_mw"":1623,""average_mw"":2635},""VDD_SOC"":{""current_mw"":1584,""average_mw"":1758}}","08-14-2026 11:25:27 RAM 8732/15656MB (lfb 6x4MB) SWAP 0/7828MB (cached 0MB) CPU [37%@1497,18%@1497,34%@1497,26%@729,20%@1190,14%@1190,17%@1190,20%@1190] GR3D_FREQ 0% cv0@47.125C cpu@49.187C soc2@46.812C soc0@48.937C cv1@47.437C gpu@47.531C tj@50.093C soc1@50.093C cv2@46.781C VDD_IN 6664mW/8148mW VDD_CPU_GPU_CV 1623mW/2635mW VDD_SOC 1584mW/1758mW"
2026-08-14T15:25:28.834+00:00,VDD_IN,6868,8110,"{""VDD_IN"":{""current_mw"":6868,""average_mw"":8110},""VDD_CPU_GPU_CV"":{""current_mw"":1785,""average_mw"":2609},""VDD_SOC"":{""current_mw"":1623,""average_mw"":1753}}","08-14-2026 11:25:28 RAM 8731/15656MB (lfb 6x4MB) SWAP 0/7828MB (cached 0MB) CPU [32%@1497,34%@1497,15%@1497,29%@1497,26%@729,29%@729,36%@729,36%@729] GR3D_FREQ 0% cv0@47.062C cpu@49.5C soc2@46.687C soc0@49.093C cv1@47.281C gpu@47.5C tj@50.062C soc1@50.062C cv2@46.906C VDD_IN 6868mW/8110mW VDD_CPU_GPU_CV 1785mW/2609mW VDD_SOC 1623mW/1753mW"
2026-08-14T15:25:29.842+00:00,VDD_IN,6827,8072,"{""VDD_IN"":{""current_mw"":6827,""average_mw"":8072},""VDD_CPU_GPU_CV"":{""current_mw"":1825,""average_mw"":2586},""VDD_SOC"":{""current_mw"":1582,""average_mw"":1748}}","08-14-2026 11:25:29 RAM 8731/15656MB (lfb 6x4MB) SWAP 0/7828MB (cached 0MB) CPU [30%@729,32%@729,23%@729,20%@729,25%@1497,27%@1497,26%@1497,33%@1497] GR3D_FREQ 0% cv0@47.25C cpu@49.281C soc2@46.843C soc0@49.125C cv1@47.468C gpu@47.281C tj@50.031C soc1@50.031C cv2@46.843C VDD_IN 6827mW/8072mW VDD_CPU_GPU_CV 1825mW/2586mW VDD_SOC 1582mW/1748mW"
2026-08-14T15:25:30.849+00:00,VDD_IN,6705,8033,"{""VDD_IN"":{""current_mw"":6705,""average_mw"":8033},""VDD_CPU_GPU_CV"":{""current_mw"":1663,""average_mw"":2560},""VDD_SOC"":{""current_mw"":1582,""average_mw"":1744}}","08-14-2026 11:25:30 RAM 8732/15656MB (lfb 6x4MB) SWAP 0/7828MB (cached 0MB) CPU [31%@1267,38%@1267,35%@1267,32%@1267,28%@1190,20%@1190,20%@1190,24%@1190] GR3D_FREQ 0% cv0@47.281C cpu@49.218C soc2@46.843C soc0@49C cv1@47.468C gpu@47.593C tj@50.093C soc1@50.093C cv2@46.75C VDD_IN 6705mW/8033mW VDD_CPU_GPU_CV 1663mW/2560mW VDD_SOC 1582mW/1744mW"
2026-08-14T15:25:31.855+00:00,VDD_IN,6705,7996,"{""VDD_IN"":{""current_mw"":6705,""average_mw"":7996},""VDD_CPU_GPU_CV"":{""current_mw"":1623,""average_mw"":2534},""VDD_SOC"":{""current_mw"":1623,""average_mw"":1740}}","08-14-2026 11:25:31 RAM 8732/15656MB (lfb 6x4MB) SWAP 0/7828MB (cached 0MB) CPU [27%@1420,16%@1420,16%@1420,12%@1420,28%@729,32%@729,32%@729,24%@729] GR3D_FREQ 0% cv0@47.281C cpu@49.406C soc2@46.843C soc0@49.031C cv1@47.312C gpu@47.593C tj@50.156C soc1@50.156C cv2@46.687C VDD_IN 6705mW/7996mW VDD_CPU_GPU_CV 1623mW/2534mW VDD_SOC 1623mW/1740mW"
