timestamp,auto_state,duration_s,sample_count,avg_bus_voltage_v,avg_left_current_a,avg_right_current_a,avg_total_current_a,avg_left_power_w,avg_right_power_w,avg_total_power_w,energy_wh
2026-04-24T14:53:23,aruco_centering,3.501,4,25.685,1.975,-0.65,2.625,50.723,16.69,67.413,0.065557
2026-04-24T14:53:33,scan_start,9.425,9,25.722,0.589,-0.356,0.944,15.148,9.146,24.293,0.063601
2026-04-24T14:58:40,idle,307.23,307,25.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-24T14:58:56,bench_tracking_f,15.994,16,25.674,0.662,-1.719,2.381,17.008,44.087,61.094,0.271431
2026-04-24T14:58:58,yaw_correction,2.498,3,25.737,0.433,-0.233,1.8,33.457,12.87,46.327,0.032143
2026-04-24T14:59:05,align_center,6.301,6,25.732,-0.367,-1.05,1.617,14.584,27.011,41.595,0.072797
2026-04-27T14:52:28,manual,2.742,2,25.61,0.1,0.0,0.1,2.56,0.0,2.56,0.00195
2026-04-27T15:09:58,manual,42.544,42,25.59,-0.043,0.0,0.048,1.219,0.0,1.219,0.014401
2026-04-27T15:10:05,bench_tracking_f,7.576,8,25.541,0.0,-0.95,0.975,0.637,24.191,24.828,0.052249
2026-04-27T15:10:16,bench_tracking_b,10.993,11,25.546,-1.2,0.582,1.8,30.63,15.322,45.953,0.140322
2026-04-27T15:10:20,yaw_correction,4.199,4,25.53,1.675,1.325,3.0,42.752,33.827,76.579,0.089331
2026-04-27T15:10:26,align_center,5.701,5,25.552,-0.36,0.34,0.94,15.327,8.682,24.009,0.038021
2026-04-27T15:11:05,bench_tracking_b,38.889,39,25.571,0.026,-0.582,1.321,13.856,19.824,33.68,0.36383
2026-04-27T15:12:42,idle,96.845,97,25.603,-0.003,0.0,0.003,0.079,0.0,0.079,0.00213
2026-04-27T15:12:46,bench_tracking_f,3.715,4,25.465,1.575,-2.35,3.925,40.103,59.844,99.947,0.103148
2026-04-27T15:12:51,align_center,5.9,6,25.47,-0.817,-1.95,2.767,20.765,49.68,70.444,0.115445
2026-04-27T15:12:59,aruco_centering,7.777,8,25.565,-1.163,-0.537,1.7,29.721,13.738,43.459,0.093886
2026-04-27T15:13:06,scan_start,7.146,7,25.591,-0.114,-0.086,0.2,2.925,2.193,5.118,0.010159
2026-04-27T15:14:37,idle,91.071,91,25.612,0.002,0.0,0.002,0.056,0.0,0.056,0.001424
2026-04-27T15:14:38,yaw_correction,0.906,1,25.6,0.1,0.0,0.1,2.56,0.0,2.56,0.000644
2026-04-27T15:14:44,align_center,5.151,5,25.586,-0.7,-0.26,1.32,27.113,6.649,33.762,0.048309
2026-04-27T15:14:49,aruco_centering,5.001,5,25.608,-0.02,0.28,0.38,2.561,7.17,9.731,0.013518
2026-04-27T15:14:55,scan_start,6.489,6,25.593,-0.017,0.0,0.017,0.427,0.0,0.427,0.000769
2026-04-27T15:14:59,bench_tracking_f,4.361,5,25.472,1.18,-2.54,3.72,30.082,64.675,94.757,0.114799
2026-04-27T15:15:02,yaw_correction,2.447,2,25.575,1.85,-0.4,2.65,47.312,20.462,67.775,0.046075
2026-04-27T15:15:08,align_center,6.6,7,25.574,0.129,-0.529,1.6,19.367,21.554,40.922,0.07502
2026-04-27T15:19:48,aruco_centering,279.267,279,25.575,0.306,-1.395,1.701,7.828,35.667,43.495,3.374113
2026-04-27T15:19:52,idle,4.001,4,25.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-27T15:19:54,manual,2.054,2,25.605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-27T15:20:16,idle,22.253,22,25.609,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-27T15:35:03,manual,20.579,20,25.597,-0.005,0.0,0.005,0.128,0.0,0.128,0.000732
2026-04-27T15:35:07,bench_tracking_f,3.81,4,25.482,-0.125,-2.15,2.375,5.73,54.704,60.435,0.063952
2026-04-27T15:35:15,bench_tracking_b,7.747,8,25.566,-0.713,0.525,1.287,18.197,14.701,32.898,0.070798
2026-04-27T15:35:18,yaw_correction,3.498,3,25.533,1.5,1.267,2.767,38.278,32.334,70.612,0.068617
2026-04-27T15:35:25,align_center,6.804,7,25.576,0.114,0.843,1.357,13.151,21.554,34.706,0.065598
2026-04-27T15:35:28,aruco_centering,2.492,2,25.55,1.7,-0.1,2.0,43.433,7.664,51.097,0.035374
2026-04-27T15:35:35,scan_start,6.9,7,25.593,0.457,-0.086,0.543,11.699,2.193,13.892,0.026627
2026-04-27T15:35:39,bench_tracking_f,4.298,5,25.538,1.56,-0.92,2.56,41.842,23.464,65.306,0.077971
2026-04-27T15:35:46,align_center,6.999,7,25.6,0.286,-0.171,0.971,19.746,5.118,24.865,0.048338
2026-04-27T15:36:06,aruco_centering,19.854,19,25.598,-0.242,0.137,1.053,23.441,3.502,26.943,0.148592
2026-04-27T15:36:13,scan_start,7.018,7,25.597,-0.271,0.157,0.429,6.947,4.022,10.969,0.021384
2026-04-27T15:36:14,bench_tracking_f,1.483,2,25.555,1.3,0.1,1.7,40.843,2.559,43.402,0.017878
2026-04-27T15:36:16,bench_tracking_b,1.804,2,25.505,-1.95,0.9,2.85,49.743,22.93,72.674,0.036413
